,Site,Quadrant,Site_ID,n_s,duneheight,transect.length..m.,dist.to.dune..m.,dist.to.strand..m.,specific_conductance,soil.moisture.pct,pct.OM,prop.OM,soil.moisture.prop,shannon_diversity,pct_cover
62,7,2,702,N,0.3,88,9.777,-1.075767254,-0.369660575,-0.327942331,-0.300552029,0.002063983,0.032719836,0.074592381,0
63,7,3,703,N,0.3,88,19.555,-0.795657429,-0.264353103,-0.308260933,-0.24824659,0.004268943,0.034151547,0.092825395,26
64,7,4,704,N,0.3,88,29.333,-0.515547604,-0.3894443,-0.359475667,0.646613569,0.041992188,0.030425963,0.100023028,15
65,7,5,705,N,0.3,88,39.111,-0.235437779,-0.388067381,-0.655238345,1.444367903,0.075621891,0.008910891,0.106834455,15
66,7,6,706,N,0.3,88,48.888,0.044643399,-0.445464155,-0.515335771,-0.274046504,0.003181336,0.019088017,0.102951364,0
67,7,7,707,N,0.3,88,58.666,0.324753224,-0.385337715,-0.402443387,-0.301687219,0.002016129,0.027300303,0.119571645,1
68,7,8,708,N,0.3,88,68.444,0.604863049,-0.409701794,-0.574179005,-0.067671068,0.011881188,0.014807502,0.146134971,35
69,7,9,709,N,0.3,88,78.222,0.884972873,-0.312563541,-0.724088366,-0.070707566,0.011753183,0.003902439,0.131393044,75
70,7,10,710,N,0.3,88,87.999,1.165054052,-0.375413909,-0.416681077,-0.187984054,0.006809339,0.026264591,0.147249383,60
71,8,1,801,N,0.5,80,0,-1.267042904,-0.174067231,-0.400741665,-0.302954444,0.001962709,0.027424094,0.074334452,28
72,8,2,802,N,0.5,80,8.888,-1.01242886,-0.369346676,-0.369414485,-0.207750008,0.005976096,0.02970297,0.081932917,30
73,8,3,803,N,0.5,80,17.777,-0.757786169,-0.412510999,1.073931472,-0.29833372,0.002157497,0.134698276,0.088856574,20
74,8,4,804,N,0.5,80,26.666,-0.503143477,-0.429885912,-0.384219974,-0.302539564,0.001980198,0.028625954,0.104639204,35
75,8,5,805,N,0.5,80,35.555,-0.248500786,-0.415108465,-0.487601523,-0.325624322,0.001007049,0.021105528,0.110754639,20
76,8,6,806,N,0.5,80,44.444,0.006141905,-0.438001908,-0.528548183,0.251036561,0.025316456,0.018126888,0.125829122,95
77,8,7,807,N,0.5,80,53.333,0.260784596,-0.401126313,-0.333421555,-0.162174917,0.007897335,0.032321254,0.140603123,45
78,8,8,808,N,0.5,80,62.222,0.515427287,-0.385764588,-0.707882828,-0.156653767,0.008130081,0.005081301,0.127639316,75
79,8,9,809,N,0.5,80,71.111,0.770069978,-0.43647513,-0.60607851,-0.201406803,0.006243496,0.012486993,0.132887699,75
80,8,10,810,N,0.5,80,79.999,1.024684023,-0.364027003,-0.723772492,-0.1619898,0.007905138,0.003925417,0.147107383,42
81,9,1,901,N,1.4,17,0,-1.570700517,-0.043401264,-0.401110543,0.974813798,0.05582762,0.02739726,0.080992991,85
82,9,2,902,N,1.4,17,1.888,-1.516615086,-0.362124699,-0.588123711,-0.278982882,0.002973241,0.013793103,0.09630063,41
83,9,3,903,N,1.4,17,3.777,-1.462501007,-0.312333407,-0.601319709,-0.326049645,0.00098912,0.012833169,0.09413002,97
84,9,4,904,N,1.4,17,5.666,-1.408386929,-0.429536181,-0.642564505,-0.022317152,0.013793103,0.009832842,0.100006535,97
85,9,5,905,N,1.4,17,7.555,-1.35427285,-0.352233093,-0.439809836,-0.279399811,0.002955665,0.024582104,0.113960262,172
86,9,6,906,N,1.4,17,9.444,-1.300158772,-0.325115801,-0.141432649,-0.166510617,0.007714561,0.046287367,0.110928054,185
87,9,7,907,N,1.4,17,11.333,-1.246044693,-0.33042234,-0.53819721,-0.211328498,0.005825243,0.017424976,0.124399511,61
88,9,8,908,N,1.4,17,13.222,-1.191930615,-0.447074635,-0.276839956,-0.301493591,0.002024291,0.036437247,0.112709603,10
89,9,9,909,N,1.4,17,15.111,-1.137816537,-0.28002061,-0.583139004,0.252560799,0.025380711,0.014155713,0.134139712,98
90,9,10,910,N,1.4,17,17,-1.083702458,-0.146653179,-0.064727719,0.733220756,0.045643154,0.05186722,0.138796916,62
91,10,1,1001,N,1.4,33,0,-1.418871711,-0.308215213,-0.656350032,-0.297147439,0.002207506,0.008830022,0.078769244,25
92,10,2,1002,N,1.4,33,3.666,-1.313852012,-0.435132831,-0.487201954,-0.270352913,0.003337041,0.021134594,0.08506078,37
93,10,3,1003,N,1.4,33,7.333,-1.208803665,-0.436880523,-0.417731668,-0.256759722,0.003910068,0.026188167,0.106180722,77
94,10,4,1004,N,1.4,33,1,-1.390224766,-0.381402157,-0.67369064,-0.304628271,0.001892148,0.00756859,0.103890102,70
95,10,5,1005,N,1.4,33,14.666,-0.99873562,-0.240238351,-0.686868028,-0.259144813,0.003809524,0.006610009,0.109009355,68
96,10,6,1006,N,1.4,33,18.333,-0.893687274,-0.251547877,-0.777734285,-0.082157834,0.011270492,0,0.106280221,47
97,10,7,1007,N,1.4,33,22,-0.788638928,-0.440798338,-0.667870016,-0.231494765,0.004975124,0.007992008,0.126244735,65
98,10,8,1008,N,1.4,33,25.666,-0.683619229,-0.411028582,-0.641086506,-0.231141416,0.00499002,0.009940358,0.123212882,40
99,10,9,1009,N,1.4,33,29.333,-0.578570883,-0.278714005,-0.738382854,-0.05050001,0.012605042,0.002862595,0.112468754,100
100,10,10,1010,N,1.4,33,33,-0.473522537,-0.346171042,-0.446313287,0.147797388,0.020964361,0.024109015,0.124395063,85
